Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity																																																										
52	այլանդակել	1		երգել	այլանդակ	Regular	V	E-Class	-ել	To denature, to misrepresent, to pervert.	Transitive																																																										
53	այլասերիլ	3	Basic	ապրիլ	այլասեր	Regular	V	I-Class	-իլ	To degenerate.	Intransitive																																																										
54	այպանել	1		երգել	այպան	Regular	V	E-Class	-ել	To scout, to baffle, to insult, to scoff, to banter, to joke, to mock, to deride, to despise.	Transitive																																																										
55	այրել	1		երգել	այր	Regular	V	E-Class	-ել	To burn, to fire, kindle, to inflame, to scorch, to parch.	Transitive																																																										
56	այրիլ	3	Basic	ապրիլ	այր	Regular	V	I-Class	-իլ	To burn, to be burnt.	Intransitive																																																										
57	այցելել	1		երգել	այցել	Regular	V	E-Class	-ել	To make a visit, to visit.	Transitive																																																										
58	անարգել	1		երգել	անարգ	Regular	V	E-Class	-ել	To dishonour, to scorn, to contemn, to disparage, to offend.	Transitive																																																										
59	անգոսնել	1		երգել	անգոսն	Regular	V	E-Class	-ել	To contempt, to scorn, to despise, to slight, to disregard.	Transitive																																																										
60	անդամակցիլ	3	Basic	ապրիլ	անդամակց	Regular	V	I-Class	-իլ	To associate, to combine with.	Intransitive																																																										
61	անդամատել	1		երգել	անդամատ	Regular	V	E-Class	-ել	To dismember, to divide.	Transitive																																																										
62	անդրադառնալ	39		անդրադառնալ	անդրադառն	Suppletive	V		-ալ	To reverberate, to reflect.	Transitive																																																										
63	անէանալ	19		ամչնալ	անէա	Regular	V	Inchoative	-նալ	To be destroyed, to come to nothing.	Intransitive																																																										
64	անթեղել	1		երգել	անթեղ	Regular	V	E-Class	-ել	To braise.	Transitive																																																										
65	անիծել	1		երգել	անիծ	Regular	V	E-Class	-ել	To curse, to execrate.	Transitive																																																										
66	անհետանալ	19		ամչնալ	անհետա	Regular	V	Inchoative	-նալ	To disappear, to vanish.	Intransitive																																																										
67	անհետացնել	9	Basic	աճեցնել	անհետա	Regular	V	Causative	-ցնել	To disappear.	Transitive																																																										
68	անձնաւորել	1		երգել	անձնաւոր	Regular	V	E-Class	-ել	To personity, to impersonate.	Transitive																																																										
69	անձրեւել	1		երգել	անձրեւ	Regular	V	E-Class	-ել	To rain, to pour down, to shower.	Intransitive																																																										
70	անճիտել	1		երգել	անճիտ	Regular	V	E-Class	-ել	To exterminate.	Transitive																																																										
71	անճրկիլ	3	Basic	ապրիլ	անճրկ	Regular	V	I-Class	-իլ	To entangle oneself, to be embarrassed.	Intransitive																																																										
72	անմահանալ	19		ամչնալ	անմահա	Regular	V	Inchoative	-նալ	To become immortalized.	Intransitive																																																										
73	անմահացնել	9	Basic	աճեցնել	անմահա	Regular	V	Causative	-ցնել	To immortalize, to eternize.	Transitive																																																										
74	անյայտանալ	19		ամչնալ	անյայտա	Regular	V	Inchoative	-նալ	To disappear, to vanish out of sight.	Intransitive																																																										
75	անյայտացնել	9	Basic	աճեցնել	անյայտա	Regular	V	Causative	-ցնել		Transitive																																																										
76	անշնչանալ	19		ամչնալ	անշնչա	Regular	V	Inchoative	-նալ	To expire, to die, to die by asphyxia.	Intransitive																																																										
77	անուանարկել	1		երգել	անուանարկ	Regular	V	E-Class	-ել	To defame, to slander, to discredit.	Transitive																																																										
78	անուանել	1		երգել	անուան	Regular	V	E-Class	-ել	To name, to call, to nominate.	Transitive																																																										
79	անպատուել	1		երգել	անպատու	Regular	V	E-Class	-ել	To dishonour, to disgrace.	Transitive																																																										
80	անջատել	1		երգել	անջատ	Regular	V	E-Class	-ել	To detach, to separate, to cut off.	Transitive																																																										
81	անջատուիլ	3	Passive	ածիլուիլ	անջատ	Regular	V	Passive	-ուիլ		Intransitive																																																										
82	անսալ	5		աղալ	անս	Regular	V	A-Class	-ալ	To hear, to listen, to obey to.	Transitive																																																										
83	անտեսել	1		երգել	անտես	Regular	V	E-Class	-ել	To neglect, to disregard, to pass over.	Transitive																																																										
84	անցընել	9	Orthographic variant with schwa	անցընել	ան	Regular	V	Causative	-ցընել	To pass, to cross, to surpass, to transfer.	Transitive																																																										
85	անցնիլ	13		անցնիլ	անց	Irregular	V		-նիլ	To pass, to pass away, to decay, to die, to fade.	Intransitive																																																										
86	անօսրանալ	19		ամչնալ	անօսրա	Regular	V	Inchoative	-նալ	To rarefy, to become rarefied, to become thin.	Intransitive																																																										
87	աշակերտել	1		երգել	աշակերտ	Regular	V	E-Class	-ել		Transitive																																																										
88	աշխատակցիլ	3	Basic	ապրիլ	աշխատակց	Regular	V	I-Class	-իլ	To work together, to be a fellow-worker, to collaborate.	Intransitive																																																										
89	աշխատիլ	3	Basic	ապրիլ	աշխատ	Regular	V	I-Class	-իլ	To work, to labour, to toil.	Intransitive																																																										
90	աշխատցնել	9	Basic	աճեցնել	աշխատ	Regular	V	Causative	-ցնել	To employ, to keep in service, to fatigue.	Transitive																																																										
91	աշխարել	1		երգել	աշխար	Regular	V	E-Class	-ել	To lament, to deplore, to pity.	Transitive																																																										
92	ապազինել	1		երգել	ապազին	Regular	V	E-Class	-ել	To disarm, to unarm.	Transitive																																																										
