Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity																																																										
276	բժշկուիլ	4	Passive	բուժուիլ	բժշկ	Regular	C	Passive	-ուիլ	To be cured, to recover, to heal up.	Intransitive																																																										
277	բիւրեղանալ	20		նիհարնալ	բիւրեղա	Regular	C	Inchoative	-նալ	To crystallize: to candy.	Intransitive																																																										
278	բիւրեղացնել	10	Basic	մօտեցնել	բիւրեղա	Regular	C	Causative	-ցնել	To crystallize.	Transitive																																																										
279	բխեցնել	10	Basic	մօտեցնել	բխե	Regular	C	Causative	-ցնել		Transitive																																																										
280	բխիլ	4	Basic	խօսիլ	բխ	Regular	C	I-Class	-իլ		Intransitive																																																										
281	բնակեցնել	10	Basic	մօտեցնել	բնակե	Regular	C	Causative	-ցնել	To lodge, to house, to make to inhabit.	Transitive																																																										
282	բնակիլ	4	Basic	խօսիլ	բնակ	Regular	C	I-Class	-իլ	To dwell in, to inhabit, to reside, to live, to stay, to lodge.	Intransitive																																																										
283	բնաջնջել	2		քաղել	բնաջնջ	Regular	C	E-Class	-ել		Transitive																																																										
284	բնորոշել	2		քաղել	բնորոշ	Regular	C	E-Class	-ել		Transitive																																																										
285	բնութագրել	2		քաղել	բնութագր	Regular	C	E-Class	-ել		Transitive																																																										
286	բոլորել	2		քաղել	բոլոր	Regular	C	E-Class	-ել	To surround, to encompass, to environ.	Transitive																																																										
287	բոհրել	2		քաղել	բոհր	Regular	C	E-Class	-ել	To roast, to torrefy.	Transitive																																																										
288	բողբոջիլ	4	Basic	խօսիլ	բողբոջ	Regular	C	I-Class	-իլ	To shoot, to sprout, to spring, to germinate.	Intransitive																																																										
289	բողոքել	2		քաղել	բողոք	Regular	C	E-Class	-ել	To protest, to complain, to object, to oppose.	Intransitive																																																										
290	բովանդակել	2		քաղել	բովանդակ	Regular	C	E-Class	-ել	To include, to comprehend, to contain, to comprise, to enclose.	Transitive																																																										
291	բորբոսիլ	4	Basic	խօսիլ	բորբոս	Regular	C	I-Class	-իլ	To grow musty, mouldy.	Intransitive																																																										
292	բորբոքել	2		քաղել	բորբոք	Regular	C	E-Class	-ել	To kindle, to inflame, to incense, to provoke.	Transitive																																																										
293	բորբոքիլ	4	Basic	խօսիլ	բորբոք	Regular	C	I-Class	-իլ		Intransitive																																																										
294	բուժել	2		քաղել	բուժ	Regular	C	E-Class	-ել	To cure, to heal.	Transitive																																																										
295	բուժուիլ	4	Passive	բուժուիլ	բուժ	Regular	C	Passive	-ուիլ		Intransitive																																																										
296	բուսնիլ	14		մեռնիլ	բուս	Irregular	C		-նիլ	To vegetate, to sprout, to spring up, to grow.	Intransitive																																																										
297	բուսցնել	10	Basic	մօտեցնել	բուս	Regular	C	Causative	-ցնել	To vegetate, to produce, to shoot.	Transitive																																																										
298	բուրել	2		քաղել	բուր	Regular	C	E-Class	-ել	To smell, to exhale, to scent.	Transitive																																																										
299	բռել	2		քաղել	բռ	Regular	C	E-Class	-ել	To whitewash, to plaster.	Transitive																																																										
300	բռնաբարել	2		քաղել	բռնաբար	Regular	C	E-Class	-ել	To force, to violate, to ravish, to constrain.	Transitive																																																										
301	բռնագրաւել	2		քաղել	բռնագրաւ	Regular	C	E-Class	-ել		Transitive																																																										
302	բռնադատել	2		քաղել	բռնադատ	Regular	C	E-Class	-ել	To force, to constrain, to violate, to ravish.	Transitive																																																										
303	բռնանալ	20		նիհարնալ	բռնա	Regular	C	Inchoative	-նալ	To tyrannize, to encroach, to invade.	Transitive																																																										
304	բռնել	2		քաղել	բռն	Regular	C	E-Class	-ել	To hold, to catch, to take, to grasp, to possess, to occupy, to attain.	Transitive																																																										
305	բռնկեցնել	10	Basic	մօտեցնել	բռնկե	Regular	C	Causative	-ցնել		Transitive																																																										
306	բռնկիլ	4	Basic	խօսիլ	բռնկ	Regular	C	I-Class	-իլ	To take fire, to be inflamed.	Intransitive																																																										
307	բռնուիլ	4	Passive	բուժուիլ	բռն	Regular	C	Passive	-ուիլ	To be held, to be taken, to be arrested, to be caught.	Intransitive																																																										
308	բռնցքահարել	2		քաղել	բռնցքահար	Regular	C	E-Class	-ել		Transitive																																																										
309	բրդել	2		քաղել	բրդ	Regular	C	E-Class	-ել	To crumble.	Transitive																																																										
310	բրել	2		քաղել	բր	Regular	C	E-Class	-ել	To dig, to hoe.	Transitive																																																										
311	բրտանալ	20		նիհարնալ	բրտա	Regular	C	Inchoative	-նալ	To stiffen, to grow stiff, to become rude, gross or uncivil.	Intransitive																																																										
312	բօթել	2		քաղել	բօթ	Regular	C	E-Class	-ել	To announce distressing news.	Transitive																																																										
313	գազազիլ	4	Basic	խօսիլ	գազազ	Regular	C	I-Class	-իլ		Intransitive																																																										
314	գալ	34		գալ	գ	Suppletive	C		-ալ	To come along.	Intransitive																																																										
315	գալարել	2		քաղել	գալար	Regular	C	E-Class	-ել	To wrap, to roll, to wind, to twist, to crease.	Transitive																																																										
316	գահազրկել	2		քաղել	գահազրկ	Regular	C	E-Class	-ել		Transitive																																																										
317	գահակալել	2		քաղել	գահակալ	Regular	C	E-Class	-ել	To sit on a throne, to be enthroned.	Transitive																																																										
318	գահավիժել	2		քաղել	գահավիժ	Regular	C	E-Class	-ել	To precipitate, to throw, to hurl.	Transitive																																																										
319	գահավիժիլ	4	Basic	խօսիլ	գահավիժ	Regular	C	I-Class	-իլ		Intransitive																																																										
320	գաղթել	2		քաղել	գաղթ	Regular	C	E-Class	-ել	To emigrate, to take refuge, to retire.	Intransitive																																																										
321	գաղջանալ	20		նիհարնալ	գաղջա	Regular	C	Inchoative	-նալ	To become lukewarm, tepid.	Intransitive																																																										
322	գաղջացնել	10	Basic	մօտեցնել	գաղջա	Regular	C	Causative	-ցնել	To make cool, lukewarm.	Transitive																																																										
323	գաճել	2		քաղել	գաճ	Regular	C	E-Class	-ել	To plaster, to patch up.	Transitive																																																										
324	գամել	2		քաղել	գամ	Regular	C	E-Class	-ել	To nail.	Transitive																																																										
325	գամուիլ	4	Passive	բուժուիլ	գամ	Regular	C	Passive	-ուիլ	To be nailed.	Intransitive																																																										
326	գայթակղել	2		քաղել	գայթակղ	Regular	C	E-Class	-ել		Transitive																																																										
327	գայթակղեցնել	10	Basic	մօտեցնել	գայթակղե	Regular	C	Causative	-ցնել	To scandalize.	Transitive																																																										
328	գայթակղիլ	4	Basic	խօսիլ	գայթակղ	Regular	C	I-Class	-իլ	To be scandalized, to be offended.	Intransitive																																																										
329	գայթել	2		քաղել	գայթ	Regular	C	E-Class	-ել	To slip over, to stumble, to slide.	Intransitive																																																										
330	գայթիլ	4	Basic	խօսիլ	գայթ	Regular	C	I-Class	-իլ		Intransitive																																																										
331	գանակոծել	2		քաղել	գանակոծ	Regular	C	E-Class	-ել	To bastinado, to drub.	Transitive																																																										
332	գանահարել	2		քաղել	գանահար	Regular	C	E-Class	-ել		Transitive																																																										
333	գանգատիլ	4	Basic	խօսիլ	գանգատ	Regular	C	I-Class	-իլ	To complain, to grumble, to express distress.	Intransitive																																																										
334	գանել	2		քաղել	գան	Regular	C	E-Class	-ել	To cudgel, to bastinado; to scourge.	Transitive																																																										
335	գանիլ	4	Basic	խօսիլ	գան	Regular	C	I-Class	-իլ		Intransitive																																																										
336	գանձել	2		քաղել	գանձ	Regular	C	E-Class	-ել	To treasure up, to hoard, to collect.	Transitive																																																										
337	գարշիլ	4	Basic	խօսիլ	գարշ	Regular	C	I-Class	-իլ	To detest, to abhor, to execrate.	Intransitive																																																										
338	գգուել	2		քաղել	գգու	Regular	C	E-Class	-ել	To blandish, to fondle, to caress, to cherish.	Transitive																																																										
339	գեղագրել	2		քաղել	գեղագր	Regular	C	E-Class	-ել		Transitive																																																										
340	գեղազարդել	2		քաղել	գեղազարդ	Regular	C	E-Class	-ել	To adorn, to set off, to trim, to deck.	Transitive																																																										
341	գեղգեղել	2		քաղել	գեղգեղ	Regular	C	E-Class	-ել	To hum, to trill, to quaver.	Transitive																																																										
342	գեղեցկանալ	20		նիհարնալ	գեղեցկա	Regular	C	Inchoative	-նալ	To beautify, to grow beautiful, to become handsome, to improve in beauty.	Intransitive																																																										
343	գեղեցկացնել	10	Basic	մօտեցնել	գեղեցկա	Regular	C	Causative	-ցնել	To embellish, to beautify, to adorn.	Transitive																																																										
344	գերագնահատել	2		քաղել	գերագնահատ	Regular	C	E-Class	-ել		Transitive																																																										
345	գերադասել	2		քաղել	գերադաս	Regular	C	E-Class	-ել	To elevate, to prefer, to raise, to put higher.	Transitive																																																										
346	գերազանցել	2		քաղել	գերազանց	Regular	C	E-Class	-ել	To surpass, to excel, to exceed.	Transitive																																																										
347	գերել	2		քաղել	գեր	Regular	C	E-Class	-ել	To captivate, to enslave: to enthral.	Transitive																																																										
348	գերեվարել	2		քաղել	գերեվար	Regular	C	E-Class	-ել		Transitive																																																										
349	գերծել	2		քաղել	գերծ	Regular	C	E-Class	-ել	To shape, to scrape, to shave off.	Transitive																																																										
350	գերփել	2		քաղել	գերփ	Regular	C	E-Class	-ել	To plunder, to depredate.	Transitive																																																										
351	գզգզել	2		քաղել	գզգզ	Regular	C	E-Class	-ել		Transitive																																																										
352	գզել	2		քաղել	գզ	Regular	C	E-Class	-ել	To card, to comb (wool, flax, hemp).	Transitive																																																										
353	գթալ	6		կարդալ	գթ	Regular	C	A-Class	-ալ	To pity, to compassionate, to commiserate, to pardon.	Transitive																																																										
354	գժտուիլ	4	Passive	բուժուիլ	գժտ	Regular	C	Passive	-ուիլ		Intransitive																																																										
355	գինովնալ	20		նիհարնալ	գինով	Regular	C	Inchoative	-նալ	To get intoxicated, to be drunken.	Intransitive																																																										
356	գինովցնել	10	Basic	մօտեցնել	գինով	Regular	C	Causative	-ցնել	To inebriate, to fuddle.	Transitive																																																										
357	գիշատել	2		քաղել	գիշատ	Regular	C	E-Class	-ել	To devour, to eat up, to tear.	Transitive																																																										
358	գիշերել	2		քաղել	գիշեր	Regular	C	E-Class	-ել	To pass the night, to spend the night.	Transitive																																																										
359	գիջանալ	20		նիհարնալ	գիջա	Regular	C	Inchoative	-նալ	To practise onanism or self-defilement.	Intransitive																																																										
360	գիտակցիլ	4	Basic	խօսիլ	գիտակց	Regular	C	I-Class	-իլ		Intransitive																																																										
361	գիտեմ	30		գիտեմ	գիտ	Defective	C		-եմ		Transitive																																																										
362	գիտնալ	20		նիհարնալ	գիտ	Regular	C	Inchoative	-նալ	To know, to learn, to be aware of, to be sensible, to acknowledge, to understand.	Transitive																																																										
363	գիրկընդխառնուիլ	4	Passive	բուժուիլ	գիրկընդխառն	Regular	C	Passive	-ուիլ	To embrace one another, to kiss one another.	Intransitive																																																										
364	գիրնալ	20		նիհարնալ	գիր	Regular	C	Inchoative	-նալ	To grow fat, to become corpulent.	Intransitive																																																										
365	գլգլալ	6		կարդալ	գլգլ	Regular	C	A-Class	-ալ		Intransitive																																																										
366	գլել	2		քաղել	գլ	Regular	C	E-Class	-ել	To roll, to turn, to surpass, to excel.	Transitive																																																										
367	գլխատել	2		քաղել	գլխատ	Regular	C	E-Class	-ել	To decollate, to behead, to decapitate.	Transitive																																																										
368	գլխաւորել	2		քաղել	գլխաւոր	Regular	C	E-Class	-ել	To accomplish, to terminate, to achieve.	Transitive																																																										
369	գլորել	2		քաղել	գլոր	Regular	C	E-Class	-ել	To roll, to roll up, to revolve, to turn over.	Transitive																																																										
370	գլորուիլ	4	Passive	բուժուիլ	գլոր	Regular	C	Passive	-ուիլ		Intransitive																																																										
371	գլտորել	2		քաղել	գլտոր	Regular	C	E-Class	-ել		Transitive																																																										
372	գծագրել	2		քաղել	գծագր	Regular	C	E-Class	-ել	To draw, to sketch, to delineate.	Transitive																																																										
373	գծել	2		քաղել	գծ	Regular	C	E-Class	-ել	To cross out, to rule, to regulate, to draw.	Transitive																																																										
374	գճել	2		քաղել	գճ	Regular	C	E-Class	-ել		Transitive																																																										
375	գճիլ	4	Basic	խօսիլ	գճ	Regular	C	I-Class	-իլ	To kneel down, to bow down, to sit squat.	Intransitive																																																										
376	գնահատել	2		քաղել	գնահատ	Regular	C	E-Class	-ել	To estimate, to value, to rate.	Transitive																																																										
377	գնդակահարել	2		քաղել	գնդակահար	Regular	C	E-Class	-ել		Transitive																																																										
378	գնել	2		քաղել	գն	Regular	C	E-Class	-ել	To buy, to purchase.	Transitive																																																										
379	գոլանալ	20		նիհարնալ	գոլա	Regular	C	Inchoative	-նալ		Intransitive																																																										
380	գոլորշիանալ	20		նիհարնալ	գոլորշիա	Regular	C	Inchoative	-նալ		Intransitive																																																										
381	գոլորշիացնել	10	Basic	մօտեցնել	գոլորշիա	Regular	C	Causative	-ցնել		Transitive																																																										
382	գոհաբանել	2		քաղել	գոհաբան	Regular	C	E-Class	-ել	To offer thanks, to praise.	Transitive																																																										
383	գոհանալ	20		նիհարնալ	գոհա	Regular	C	Inchoative	-նալ	To thank, to render grace.	Intransitive																																																										
384	գողնալ	20		նիհարնալ	գող	Regular	C	Inchoative	-նալ	To steal, to rob, to plunder, to pilfer.	Transitive																																																										
385	գոյանալ	20		նիհարնալ	գոյա	Regular	C	Inchoative	-նալ	To exist.	Intransitive																																																										
386	գոյացնել	10	Basic	մօտեցնել	գոյա	Regular	C	Causative	-ցնել	To yield, to produce, to bring to.	Transitive																																																										
387	գոչել	2		քաղել	գոչ	Regular	C	E-Class	-ել	To cry, to shout, to scream, to call out, to roar.	Intransitive																																																										
388	գոռալ	6		կարդալ	գոռ	Regular	C	A-Class	-ալ	To growl, to roar, to grumble, to rumble; to insult.	Intransitive																																																										
389	գոռգոռալ	6		կարդալ	գոռգոռ	Regular	C	A-Class	-ալ		Intransitive																																																										
390	գոռոզանալ	20		նիհարնալ	գոռոզա	Regular	C	Inchoative	-նալ	To be proud of, to be puffed up.	Intransitive																																																										
391	գովաբանել	2		քաղել	գովաբան	Regular	C	E-Class	-ել	To praise, to extol, to eulogize.	Transitive																																																										
392	գովել	2		քաղել	գով	Regular	C	E-Class	-ել	To praise, to laud, to glorify, to exalt, to magnify.	Transitive																																																										
393	գործադրել	2		քաղել	գործադր	Regular	C	E-Class	-ել	To execute, to perform, to do, to fulfill.	Transitive																																																										
394	գործածել	2		քաղել	գործած	Regular	C	E-Class	-ել	To use, to consume, to employ, to use up.	Transitive																																																										
395	գործակցիլ	4	Basic	խօսիլ	գործակց	Regular	C	I-Class	-իլ	To cowork, to cooperate, to work together.	Transitive																																																										
396	գործել	2		քաղել	գործ	Regular	C	E-Class	-ել	To work, to act, to operate, to labour, to exert, to fabricate, to effect, to perform.	Transitive																																																										
397	գոցել	2		քաղել	գոց	Regular	C	E-Class	-ել	To shut, to close, to enclose, to lock.	Transitive																																																										
398	գոցուիլ	4	Passive	բուժուիլ	գոց	Regular	C	Passive	-ուիլ	To be shut, to be closed, enclosed.	Intransitive																																																										
399	գուժել	2		քաղել	գուժ	Regular	C	E-Class	-ել	To give sad news.	Transitive																																																										
400	գումարել	2		քաղել	գումար	Regular	C	E-Class	-ել	To add, to assemble, to sum, to convoke.	Transitive																																																										
401	գունատիլ	4	Basic	խօսիլ	գունատ	Regular	C	I-Class	-իլ	To fade, to lose colour.	Intransitive																																																										
402	գուշակել	2		քաղել	գուշակ	Regular	C	E-Class	-ել	To foretell, to guess at, to predict.	Transitive																																																										
403	գուրգուրալ	6		կարդալ	գուրգուր	Regular	C	A-Class	-ալ	To fondle, to caress, to cocker.	Transitive																																																										
404	գռգռալ	6		կարդալ	գռգռ	Regular	C	A-Class	-ալ	To croak, to clock.	Intransitive																																																										
405	գտնալ	24	Theme -a-	գտնալ	գտ	Irregular	C		-նալ	To find, to discover, to detect, to find out.	Transitive																																																										
406	գտնել	24	Theme -e-	գտնել	գտ	Irregular	C		-նել	To find, to discover, to detect, to find out.	Transitive																																																										
407	գտնուիլ	4	Passive	բուժուիլ	գտն	Regular	C	Passive	-ուիլ	To be found.	Intransitive																																																										
408	գրանցել	2		քաղել	գրանց	Regular	C	E-Class	-ել		Transitive																																																										
409	գրաւագրել	2		քաղել	գրաւագր	Regular	C	E-Class	-ել		Transitive																																																										
410	գրաւել	2		քաղել	գրաւ	Regular	C	E-Class	-ել	To occupy, to appropriate, to invade, to confiscate.	Intransitive																																																										
411	գրաքննել	2		քաղել	գրաքնն	Regular	C	E-Class	-ել	To censure.	Transitive																																																										
412	գրգռել	2		քաղել	գրգռ	Regular	C	E-Class	-ել	To excite, to irritate, to incite, to provoke, to stimulate, to rouse.	Transitive																																																										
413	գրել	2		քաղել	գր	Regular	C	E-Class	-ել	To write.	Transitive																																																										
414	գրկախառնուիլ	4	Passive	բուժուիլ	գրկախառն	Regular	C	Passive	-ուիլ		Intransitive																																																										
415	գրկել	2		քաղել	գրկ	Regular	C	E-Class	-ել	To embrace, to clasp, to embosom; to kiss.	Transitive																																																										
416	գրոհել	2		քաղել	գրոհ	Regular	C	E-Class	-ել		Intransitive																																																										
417	գրպանել	2		քաղել	գրպան	Regular	C	E-Class	-ել		Transitive																																																										
418	գօսանալ	20		նիհարնալ	գօսա	Regular	C	Inchoative	-նալ	To dry up, to desiccate.	Intransitive																																																										
419	գօսացնել	10	Basic	մօտեցնել	գօսա	Regular	C	Causative	-ցնել	To dry, to desiccate, to wither.	Transitive																																																										
420	գօտեմարտիլ	4	Basic	խօսիլ	գօտեմարտ	Regular	C	I-Class	-իլ	To wrestle.	Intransitive																																																										
421	գօտեպնդել	2		քաղել	գօտեպնդ	Regular	C	E-Class	-ել	To girdle, to surround, to girt.	Transitive																																																										
422	գօտեւորել	2		քաղել	գօտեւոր	Regular	C	E-Class	-ել	To gird on, to girdle, to surround, to bind.	Transitive																																																										
423	գօտեւորուիլ	4	Passive	բուժուիլ	գօտեւոր	Regular	C	Passive	-ուիլ		Intransitive																																																										
424	դադրեցնել	10	Basic	մօտեցնել	դադրե	Regular	C	Causative	-ցնել	To cease, to stop, to leave off, to intermit, to suspend.	Transitive																																																										
425	դադրիլ	4	Basic	խօսիլ	դադր	Regular	C	I-Class	-իլ	To discontinue, to stop, to cease.	Intransitive																																																										
426	դակել	2		քաղել	դակ	Regular	C	E-Class	-ել		Transitive																																																										
427	դայլայլել	2		քաղել	դայլայլ	Regular	C	E-Class	-ել	To warble, to sing in a trilling manner.	Transitive																																																										
428	դանակահարել	2		քաղել	դանակահար	Regular	C	E-Class	-ել		Transitive																																																										
429	դանդաղիլ	4	Basic	խօսիլ	դանդաղ	Regular	C	I-Class	-իլ	To loiter, to delay.	Intransitive																																																										
430	դանդաչել	2		քաղել	դանդաչ	Regular	C	E-Class	-ել	To ramble, to stray, to wander, to digress, to grope.	Intransitive																																																										
431	դաշնակցիլ	4	Basic	խօսիլ	դաշնակց	Regular	C	I-Class	-իլ	To unite, to league, to be allied, to enter into a confederacy.	Intransitive																																																										
432	դաշնաւորել	2		քաղել	դաշնաւոր	Regular	C	E-Class	-ել	To harmonize.	Transitive																																																										
433	դաշունել	2		քաղել	դաշուն	Regular	C	E-Class	-ել	To stab with a poniard, to dagger.	Transitive																																																										
434	դառնալ	40		դառնալ	դառն	Suppletive	C		-ալ	To turn, to return, to come back, to go back, to come again.	Intransitive																																																										
435	դառնանալ	20		նիհարնալ	դառնա	Regular	C	Inchoative	-նալ	To turn sour, to grow worse.	Intransitive																																																										
436	դառնացնել	10	Basic	մօտեցնել	դառնա	Regular	C	Causative	-ցնել	To embitter, to make bitter, sour or sharp.	Transitive																																																										
437	դասախօսել	2		քաղել	դասախօս	Regular	C	E-Class	-ել	To lecture on, to profess, to teach, to practise.	Transitive																																																										
438	դասակարգել	2		քաղել	դասակարգ	Regular	C	E-Class	-ել	To classify, to class, to systematize.	Transitive																																																										
439	դասաւանդել	2		քաղել	դասաւանդ	Regular	C	E-Class	-ել	To teach, to give lessons.	Transitive																																																										
440	դասաւորել	2		քաղել	դասաւոր	Regular	C	E-Class	-ել	To class, to arrange, to put in order.	Transitive																																																										
441	դասել	2		քաղել	դաս	Regular	C	E-Class	-ել	To class, to classify; to sort, to order.	Transitive																																																										
442	դաստիարակել	2		քաղել	դաստիարակ	Regular	C	E-Class	-ել	To educate, to instruct, to teach.	Transitive																																																										
443	դատապարտել	2		քաղել	դատապարտ	Regular	C	E-Class	-ել	To sentence, to condemn, to damn.	Transitive																																																										
444	դատապարտուիլ	4	Passive	բուժուիլ	դատապարտ	Regular	C	Passive	-ուիլ	To be condemned, to be under sentence.	Intransitive																																																										
445	դատարկել	2		քաղել	դատարկ	Regular	C	E-Class	-ել	To evacuate, to empty, to hollow out; to drain.	Transitive																																																										
446	դատափետել	2		քաղել	դատափետ	Regular	C	E-Class	-ել	To maltreat, to cavil, to pursue, to offend in words.	Transitive																																																										
447	դատել	2		քաղել	դատ	Regular	C	E-Class	-ել	To judge, to bring to trial, to sentence, to discern, to esteem.	Transitive																																																										
448	դարանիլ	4	Basic	խօսիլ	դարան	Regular	C	I-Class	-իլ	To lie in wait, in ambuscade; to suborn, to circumvent.	Intransitive																																																										
449	դարբնել	2		քաղել	դարբն	Regular	C	E-Class	-ել	To forge, to hammer.	Transitive																																																										
450	դարձնել	10	Orthographic variant with affricate	դարձնել	դար	Regular	C	Causative	-ձնել	To turn, to return, to call back.	Transitive																																																										
451	դարմանել	2		քաղել	դարման	Regular	C	E-Class	-ել	To remedy, to restore, to repair.	Transitive																																																										
452	դարմանուիլ	4	Passive	բուժուիլ	դարման	Regular	C	Passive	-ուիլ	To take care of oneself, to be treated.	Intransitive																																																										
453	դարովել	2		քաղել	դարով	Regular	C	E-Class	-ել		Transitive																																																										
454	դաւադրել	2		քաղել	դաւադր	Regular	C	E-Class	-ել	To plot, to intrigue, to cabal.	Transitive																																																										
455	դաւաճանել	2		քաղել	դաւաճան	Regular	C	E-Class	-ել	To betray, to cabal, to deceive.	Transitive																																																										
456	դաւանիլ	4	Basic	խօսիլ	դաւան	Regular	C	I-Class	-իլ	To profess, to confess, to avow.	Transitive																																																										
457	դաւել	2		քաղել	դաւ	Regular	C	E-Class	-ել	To betray, to cabal, to deceive.	Transitive																																																										
458	դափել	2		քաղել	դափ	Regular	C	E-Class	-ել	To tap, to beat the drum, to drum.	Intransitive																																																										
459	դեգերիլ	4	Basic	խօսիլ	դեգեր	Regular	C	I-Class	-իլ	To linger, to wander, to trifle.	Intransitive																																																										
460	դեդեւիլ	4	Basic	խօսիլ	դեդեւ	Regular	C	I-Class	-իլ		Intransitive																																																										
461	դեղել	2		քաղել	դեղ	Regular	C	E-Class	-ել	To poison, to infect with poison; to dye.	Transitive																																																										
462	դեղնիլ	4	Basic	խօսիլ	դեղն	Regular	C	I-Class	-իլ	To grow yellow, to turn yellow.	Intransitive																																																										
463	դժբախտանալ	20		նիհարնալ	դժբախտա	Regular	C	Inchoative	-նալ		Intransitive																																																										
464	դժբախտացնել	10	Basic	մօտեցնել	դժբախտա	Regular	C	Causative	-ցնել		Transitive																																																										
465	դժկամակիլ	4	Basic	խօսիլ	դժկամակ	Regular	C	I-Class	-իլ	To be vexed, to be discontented, to be displeased with.	Intransitive																																																										
466	դժուարանալ	20		նիհարնալ	դժուարա	Regular	C	Inchoative	-նալ	To become difficult; to harden.	Intransitive																																																										
467	դժուարացնել	10	Basic	մօտեցնել	դժուարա	Regular	C	Causative	-ցնել	To harden, to make difficult.	Transitive																																																										
468	դիազննել	2		քաղել	դիազնն	Regular	C	E-Class	-ել	To make an autopsy.	Transitive																																																										
469	դիահերձել	2		քաղել	դիահերձ	Regular	C	E-Class	-ել		Transitive																																																										
470	դիել	2		քաղել	դի	Regular	C	E-Class	-ել	To suck milk, to suck.	Transitive																																																										
471	դիեցնել	10	Basic	մօտեցնել	դիե	Regular	C	Causative	-ցնել	To foster, to suckle, to nourish with milk.	Transitive																																																										
472	դիզել	2		քաղել	դիզ	Regular	C	E-Class	-ել	To heap up, to pile, to accumulate, to amass.	Transitive																																																										
473	դիզուիլ	4	Passive	բուժուիլ	դիզ	Regular	C	Passive	-ուիլ	To be heaped, collected; to gather, to accumulate.	Intransitive																																																										
474	դիմագրաւել	2		քաղել	դիմագրաւ	Regular	C	E-Class	-ել	To face, to affront, to venture.	Transitive																																																										
475	դիմադարձել	2		քաղել	դիմադարձ	Regular	C	E-Class	-ել	To resist, to oppose, to withstand.	Transitive																																																										
476	դիմադրել	2		քաղել	դիմադր	Regular	C	E-Class	-ել	To resist, to oppose, to withstand. (mil.) To offer resistance.	Intransitive																																																										
477	դիմակազերծել	2		քաղել	դիմակազերծ	Regular	C	E-Class	-ել		Transitive																																																										
478	դիմանալ	20		նիհարնալ	դիմա	Regular	C	Inchoative	-նալ	To last, to endure, to resist, to continue.	Intransitive																																																										
479	դիմաւորել	2		քաղել	դիմաւոր	Regular	C	E-Class	-ել	To go to meet, to come to meet.	Transitive																																																										
480	դիմել	2		քաղել	դիմ	Regular	C	E-Class	-ել	To apply to, to go to, to have recourse to, to run, to dart.	Transitive																																																										
481	դիտել	2		քաղել	դիտ	Regular	C	E-Class	-ել	To observe, to remark, to study, to consider, to contemplate, to watch, to await.	Transitive																																																										
482	դիրքաւորուիլ	4	Passive	բուժուիլ	դիրքաւոր	Regular	C	Passive	-ուիլ		Intransitive																																																										
483	դիւահարիլ	4	Basic	խօսիլ	դիւահար	Regular	C	I-Class	-իլ	To be possessed with the devil, enraged.	Intransitive																																																										
484	դիւթել	2		քաղել	դիւթ	Regular	C	E-Class	-ել	To enchant, to bewitch, to charm, to fascinate.	Transitive																																																										
485	դիւրանալ	20		նիհարնալ	դիւրա	Regular	C	Inchoative	-նալ	To become easy, to be facilitated.	Intransitive																																																										
486	դիւրացնել	10	Basic	մօտեցնել	դիւրա	Regular	C	Causative	-ցնել	To facilitate, to make easy, to lighten.	Transitive																																																										
487	դղրդալ	6		կարդալ	դղրդ	Regular	C	A-Class	-ալ		Intransitive																																																										
488	դղրդել	2		քաղել	դղրդ	Regular	C	E-Class	-ել	To shake, to move, to disturb, to stir.	Transitive																																																										
489	դնել	43		դնել	դն	Suppletive	C		-ել	To put, to place, to set, to lay down, to instate, to install; to dispose, to constitute.	Transitive																																																										
490	դողալ	6		կարդալ	դող	Regular	C	A-Class	-ալ	To tremble, to shiver, to shake, to quake.	Intransitive																																																										
491	դողացնել	10	Basic	մօտեցնել	դողա	Regular	C	Causative	-ցնել	To cause to tremble, to agitate, to push.	Transitive																																																										
492	դողդնալ	20		նիհարնալ	դողդ	Regular	C	Inchoative	-նալ		Intransitive																																																										
493	դողդոջել	2		քաղել	դողդոջ	Regular	C	E-Class	-ել	To shiver, to quiver, to tremble, to totter.	Intransitive																																																										
494	դորսովիլ	4	Basic	խօսիլ	դորսով	Regular	C	I-Class	-իլ	To die of thirst, hunger.	Intransitive																																																										
495	դոփել	2		քաղել	դոփ	Regular	C	E-Class	-ել	To stamp, to stamp one's foot.	Intransitive																																																										
496	դպիլ	44		դպիլ	դպ	Irregular	C		-իլ		Transitive																																																										
497	դպչիլ	26		դպչիլ	դպ	Irregular	C		-չիլ	To touch, to handle, to finger, to fell, to approach, to strike.	Transitive																																																										
498	դպցնել	10	Basic	մօտեցնել	դպ	Regular	C	Causative	-ցնել	To touch, to hit, to strike, to make to feel.	Transitive																																																										
499	դրդել	2		քաղել	դրդ	Regular	C	E-Class	-ել	To push, to incite, to instigate, to stimulate.	Transitive																																																										
500	դրդուիլ	4	Passive	բուժուիլ	դրդ	Regular	C	Passive	-ուիլ	To be shaken, to move, to stagger.	Intransitive																																																										
501	դրժել	2		քաղել	դրժ	Regular	C	E-Class	-ել	To infringe, to beguile, to deceive, to violate.	Transitive																																																										
502	դրժուիլ	4	Passive	բուժուիլ	դրժ	Regular	C	Passive	-ուիլ		Intransitive																																																										
