imperative 2pl	երգեցէ՛ք	քաղեցէ՛ք	ապրեցէ՛ք	խօսեցէ՛ք	ածիլուեցէ՛ք	զզուեցէ՛ք	աղացէ՛ք	կարդացէ՛ք	արտահեղեցէ՛ք, արտահեղէ՛ք, արտահեղուցէ՛ք	թողեցէ՛ք, թողէ՛ք, թողուցէ՛ք	աճեցուցէ՛ք	մօտեցուցէ՛ք	անցուցէ՛ք	դարձուցէ՛ք	ուսուցէ՛ք	ծանուցէ՛ք	անցէ՛ք	մեռէ՛ք	երկնէ՛ք	կպէ՛ք	ամչցէ՛ք	նիհարցէ՛ք	երդուէ՛ք	զբօսնեցէ՛ք	իջէ՛ք	իջէ՛ք	գտէ՛ք	գտէ՛ք	ելէ՛ք	ելէ՛ք	դպէ՛ք		կրցէ՛ք						եղէ՛ք	եկէ՛ք	լացէ՛ք	տուէ՛ք	արտաբերէ՛ք	բերէ՛ք	անդրադարձէ՛ք	դարձէ՛ք	առէ՛ք	բացէ՛ք	դրէ՛ք	դպէ՛ք	գացէ՛ք	զարկէ՛ք	զիջէ՛ք	ընդունեցէ՛ք	ըրէ՛ք	ըսէ՛ք	թքէ՛ք	ինկէ՛ք	խածէ՛ք	խաղացէ՛ք, խաղցէ՛ք	մնացէ՛ք	նստեցէ՛ք, նստէ՛ք	կերէ՛ք	տարէ՛ք
imperative 2sg	երգէ՛	քաղէ՛	ապրի՛ր, ապրէ՛	խօսի՛ր, խօսէ՛	ածիլուէ՛, ածիլուի՛ր	զզուէ՛, զզուի՛ր	աղա՛	կարդա՛	արտահե՛ղ, արտահեղո՛ւ, արտահեղո՛ւր	թո՛ղ, թողո՛ւ, թողո՛ւր	աճեցո՛ւր	մօտեցո՛ւր	անցո՛ւր	դարձո՛ւր	ուսուցո՛ւր	ծանուցո՛ւր	անցի՛ր	մեռի՛ր	երկնէ՛, երկնի՛ր	կպի՛ր	ամչցի՛ր	նիհարցի՛ր	երդուի՛ր	զբօսնէ՛, զբօսի՛ր	իջի՛ր	իջի՛ր	գտի՛ր	գտի՛ր	ելի՛ր, ել՛	ելի՛ր, ել՛	դպէ՛, դպի՛ր		կրցի՛ր						եղի՛ր	եկո՛ւր	լա՛ց	տո՛ւր	արտաբե՛ր	բե՛ր	անդրադարձի՛ր	դարձի՛ր	ա՛ռ	բա՛ց	դի՛ր	դպէ՛, դպի՛ր	գնա՛	զա՛րկ	զիջէ՛, զիջի՛ր	ընդունի՛ր, ընդունէ՛	ըրէ՛	ըսէ՛	թքէ՛, թքի՛ր, թո՛ւք	ինկի՛ր	խածի՛ր, խա՛ծ	խաղցի՛ր, խաղա՛	մնացի՛ր, մնա՛	նստէ՛, նստի՛ր	կե՛ր	տա՛ր
indicative past 1pl	երգեցինք	քաղեցինք	ապրեցանք	խօսեցանք	ածիլուեցանք	զզուեցանք	աղացինք	կարդացինք	արտահեղուցինք	թողուցինք, թողինք	աճեցուցինք	մօտեցուցինք	անցուցինք	դարձուցինք	ուսուցինք	ծանուցինք	անցանք	մեռանք	երկնանք	կպանք	ամչցանք	նիհարցանք	երդուանք	զբօսնեցինք	իջանք	իջանք	գտանք	գտանք	ելանք	ելանք	դպանք		կրցանք						եղանք	եկանք	լացինք	տուինք	արտաբերինք	բերինք	անդրադարձանք	դարձանք	առինք	բացինք	դրինք	դպանք	գացինք	զարկինք	զիջանք	ընդունեցանք, ընդունեցինք	ըրինք	ըսինք	թքանք, թքինք	ինկանք	խածանք, խածինք	խաղացինք, խաղցանք	մնացինք	նստեցանք, նստանք	կերանք	տարինք
indicative past 1sg	երգեցի	քաղեցի	ապրեցայ	խօսեցայ	ածիլուեցայ	զզուեցայ	աղացի	կարդացի	արտահեղուցի	թողուցի, թողի	աճեցուցի	մօտեցուցի	անցուցի	դարձուցի	ուսուցի	ծանուցի	անցայ	մեռայ	երկնայ	կպայ	ամչցայ	նիհարցայ	երդուայ	զբօսնեցի	իջայ	իջայ	գտայ	գտայ	ելայ	ելայ	դպայ		կրցայ						եղայ	եկայ	լացի	տուի	արտաբերի	բերի	անդրադարձայ	դարձայ	առի	բացի	դրի	դպայ	գացի	զարկի	զիջայ	ընդունեցայ, ընդունեցի	ըրի	ըսի	թքայ, թքի	ինկայ	խածայ, խածի	խաղացի, խաղցայ	մնացի	նստեցայ, նստայ	կերայ	տարի
indicative past 2pl	երգեցիք	քաղեցիք	ապրեցաք	խօսեցաք	ածիլուեցաք	զզուեցաք	աղացիք	կարդացիք	արտահեղուցիք	թողուցիք, թողիք	աճեցուցիք	մօտեցուցիք	անցուցիք	դարձուցիք	ուսուցիք	ծանուցիք	անցաք	մեռաք	երկնաք	կպաք	ամչցաք	նիհարցաք	երդուաք	զբօսնեցիք	իջաք	իջաք	գտաք	գտաք	ելաք	ելաք	դպաք		կրցաք						եղաք	եկաք	լացիք	տուիք	արտաբերիք	բերիք	անդրադարձաք	դարձաք	առիք	բացիք	դրիք	դպաք	գացիք	զարկիք	զիջաք	ընդունեցաք, ընդունեցիք	ըրիք	ըսիք	թքաք, թքիք	ինկաք	խածաք, խածիք	խաղացիք, խաղցաք	մնացիք	նստեցաք, նստաք	կերաք	տարիք
indicative past 2sg	երգեցիր	քաղեցիր	ապրեցար	խօսեցար	ածիլուեցար	զզուեցար	աղացիր	կարդացիր	արտահեղուցիր	թողուցիր, թողիր	աճեցուցիր	մօտեցուցիր	անցուցիր	դարձուցիր	ուսուցիր	ծանուցիր	անցար	մեռար	երկնար	կպար	ամչցար	նիհարցար	երդուար	զբօսնեցիր	իջար	իջար	գտար	գտար	ելար	ելար	դպար		կրցար						եղար	եկար	լացիր	տուիր	արտաբերիր	բերիր	անդրադարձար	դարձար	առիր	բացիր	դրիր	դպար	գացիր	զարկիր	զիջար	ընդունեցար, ընդունեցիր	ըրիր	ըսիր	թքար, թքիր	ինկար	խածար, խածիր	խաղացիր, խաղցար	մնացիր	նստեցար, նստար	կերար	տարիր
indicative past 3pl	երգեցին	քաղեցին	ապրեցան	խօսեցան	ածիլուեցան	զզուեցան	աղացին	կարդացին	արտահեղուցին	թողուցին, թողին	աճեցուցին	մօտեցուցին	անցուցին	դարձուցին	ուսուցին	ծանուցին	անցան	մեռան	երկնան	կպան	ամչցան	նիհարցան	երդուան	զբօսնեցին	իջան	իջան	գտան	գտան	ելան	ելան	դպան		կրցան						եղան	եկան	լացին	տուին	արտաբերին	բերին	անդրադարձան	դարձան	առին	բացին	դրին	դպան	գացին	զարկին	զիջան	ընդունեցան, ընդունեցին	ըրին	ըսին	թքան, թքին	ինկան	խածան, խածին	խաղացին, խաղցան	մնացին	նստեցան, նստան	կերան	տարին
indicative past 3sg	երգեց	քաղեց	ապրեցաւ	խօսեցաւ	ածիլուեցաւ	զզուեցաւ	աղաց	կարդաց	արտահեղուց	թողուց, թող	աճեցուց	մօտեցուց	անցուց	դարձուց	ուսուց	ծանուց	անցաւ	մեռաւ	երկնաւ	կպաւ	ամչցաւ	նիհարցաւ	երդուաւ	զբօսնեց	իջաւ	իջաւ	գտաւ	գտաւ	ելաւ	ելաւ	դպաւ		կրցաւ						եղաւ	եկաւ	լացաւ	տուաւ	արտաբերաւ	բերաւ	անդրադարձաւ	դարձաւ	առաւ	բացաւ	դրաւ	դպաւ	գնաց	զարկաւ	զիջաւ	ընդունեց, ընդունեցաւ	ըրաւ	ըսաւ	թքաւ	ինկաւ	խածաւ	խաղաց, խաղցաւ	մնաց	նստեցաւ, նստաւ	կերաւ	տարաւ
indicative past imperfect 1pl	կ'երգէինք	կը քաղէինք	կ'ապրէինք	կը խօսէինք	կ'ածիլուէինք	կը զզուէինք	կ'աղայինք	կը կարդայինք	կ'արտահեղէինք, կ'արտահեղուինք	կը թողէինք, կը թողուինք	կ'աճեցնէինք	կը մօտեցնէինք	կ'անցընէինք	կը դարձնէինք	կ'ուսուցանէինք	կը ծանուցանէինք	կ'անցնէինք	կը մեռնէինք	կ'երկնչէինք		կ'ամչնայինք	կը նիհարնայինք	կ'երդնէինք	կը զբօսնէինք	կ'իջնայինք	կ'իջնէինք	կը գտնայինք	կը գտնէինք	կ'ելլայինք	կ'ելլէինք	կը դպչէինք		կրնայինք	կ'երեւինք	ունէինք	գիտէինք	կայինք	էինք	կ'ըլլայինք	կու գայինք	կու լայինք	կու տայինք	կ'արտաբերէինք	կը բերէինք	կ'անդրադառնայինք	կը դառնայինք	կ'առնէինք	կը բանայինք	կը դնէինք	կը դպէինք	կ'երթայինք	կը զարնէինք	կը զիջէինք	կ'ընդունէինք	կ'ընէինք	կ'ըսէինք	կը թքնէինք	կ'իյնայինք	կը խածնէինք	կը խաղայինք	կը մնայինք	կը նստէինք	կ'ուտէինք	կը տանէինք
indicative past imperfect 1sg	կ'երգէի	կը քաղէի	կ'ապրէի	կը խօսէի	կ'ածիլուէի	կը զզուէի	կ'աղայի	կը կարդայի	կ'արտահեղէի, կ'արտահեղուի	կը թողէի, կը թողուի	կ'աճեցնէի	կը մօտեցնէի	կ'անցընէի	կը դարձնէի	կ'ուսուցանէի	կը ծանուցանէի	կ'անցնէի	կը մեռնէի	կ'երկնչէի		կ'ամչնայի	կը նիհարնայի	կ'երդնէի	կը զբօսնէի	կ'իջնայի	կ'իջնէի	կը գտնայի	կը գտնէի	կ'ելլայի	կ'ելլէի	կը դպչէի		կրնայի	կ'երեւիմ	ունէի	գիտէի	կայի	էի	կ'ըլլայի	կու գայի	կու լայի	կու տայի	կ'արտաբերէի	կը բերէի	կ'անդրադառնայի	կը դառնայի	կ'առնէի	կը բանայի	կը դնէի	կը դպէի	կ'երթայի	կը զարնէի	կը զիջէի	կ'ընդունէի	կ'ընէի	կ'ըսէի	կը թքնէի	կ'իյնայի	կը խածնէի	կը խաղայի	կը մնայի	կը նստէի	կ'ուտէի	կը տանէի
