Index	Verb	Class number	Class example	Stem	Regularity	Regular category	Phonological marker	Morphological marker	Comment	
864	իրագործել	1	երգել	իրագործ	Regular	E-Class	V-initial	-ել		
865	իրականացնել	9	աճեցնել	իրականա	Regular	Causative	V-initial	-ցնել		
866	իւղել	1	երգել	իւղ	Regular	E-Class	V-initial	-ել		
867	իւղոտել	1	երգել	իւղոտ	Regular	E-Class	V-initial	-ել		
868	իւրացնել	9	աճեցնել	իւրա	Regular	Causative	V-initial	-ցնել		
869	լալ	35	լալ	լ	Suppletive			Lexeme		
870	լակել	2	քաղել	լակ	Regular	E-Class	C-initial	-ել		
871	լայնել	2	քաղել	լայն	Regular	E-Class	C-initial	-ել		
872	լայննալ	20	նիհարնալ	լայն	Regular	Inchoative	C-initial	-նալ		
873	լայնցնել	10	մօտեցնել	լայն	Regular	Causative	C-initial	-ցնել		
874	լարել	2	քաղել	լար	Regular	E-Class	C-initial	-ել		
875	լացնել	10	մօտեցնել	լա	Regular	Causative	C-initial	-ցնել		
876	լաւանալ	20	նիհարնալ	լաւ	Regular	Inchoative	C-initial	-նալ		
877	լաւացնել	10	մօտեցնել	լաւա	Regular	Causative	C-initial	-ցնել		
878	լափել	2	քաղել	լափ	Regular	E-Class	C-initial	-ել		
879	լափլիզել	2	քաղել	լափլիզ	Regular	E-Class	C-initial	-ել		
880	լեռնանալ	20	նիհարնալ	լեռն	Regular	Inchoative	C-initial	-նալ		
881	լեսուլ	8	թողուլ	լես	Archaic		C-initial	-ուլ 		
882	լերդանալ	20	նիհարնալ	լերդ	Regular	Inchoative	C-initial	-նալ		
883	լերկանալ	20	նիհարնալ	լերկ	Regular	Inchoative	C-initial	-նալ		
884	լերկացնել	10	մօտեցնել	լերկա	Regular	Causative	C-initial	-ցնել		
885	լեցնել	10	մօտեցնել	լե	Regular	Causative	C-initial	-ցնել		
886	լեցուիլ	4	խօսիլ	լեց	Regular	Passive	C-initial	-իլ		
887	լզել	2	քաղել	լզ	Regular	E-Class	C-initial	-ել		
888	լզուըռտել	2	քաղել	լզուըռտ	Regular	E-Class	C-initial	-ել		
889	լիազօրել	2	քաղել	լիազօր	Regular	E-Class	C-initial	-ել		
890	լիանալ	20	նիհարնալ	լի	Regular	Inchoative	C-initial	-նալ		
891	լիացնել	10	մօտեցնել	լիա	Regular	Causative	C-initial	-ցնել		
892	լիզել	2	քաղել	լիզ	Regular	E-Class	C-initial	-ել		
893	լլկել	2	քաղել	լլկ	Regular	E-Class	C-initial	-ել		
894	լխկիլ	4	խօսիլ	լխկ	Regular	I-Class	C-initial	-իլ		
895	լծել	2	քաղել	լծ	Regular	E-Class	C-initial	-ել		
896	լծորդել	2	քաղել	լծորդ	Regular	E-Class	C-initial	-ել		
897	լկիլ	4	խօսիլ	լկ	Regular	I-Class	C-initial	-իլ		
898	լկտիանալ	20	նիհարնալ	լկտի	Regular	Inchoative	C-initial	-նալ		
899	լղրճել	2	քաղել	լղրճ	Regular	E-Class	C-initial	-ել		
900	լղրճիլ	4	խօսիլ	լղրճ	Regular	I-Class	C-initial	-իլ		
901	լճանալ	20	նիհարնալ	լճ	Regular	Inchoative	C-initial	-նալ		
902	լմել	2	քաղել	լմ	Regular	E-Class	C-initial	-ել		
903	լմննալ	20	նիհարնալ	լմն	Regular	Inchoative	C-initial	-նալ		
904	լմնցնել	10	մօտեցնել	լմն	Regular	Causative	C-initial	-ցնել		
905	լնդել	2	քաղել	լնդ	Regular	E-Class	C-initial	-ել		
906	լոգնալ	20	նիհարնալ	լոգ	Regular	Inchoative	C-initial	-նալ		
907	լոգցնել	10	մօտեցնել	լոգ	Regular	Causative	C-initial	-ցնել		
908	լոլոզել	2	քաղել	լոլոզ	Regular	E-Class	C-initial	-ել		
909	լողալ	6	կարդալ	լող	Regular	A-Class	C-initial	-ալ		
910	լուալ	6	կարդալ	լու	Regular	A-Class	C-initial	-ալ		
911	լուել	2	քաղել	լու	Regular	E-Class	C-initial	-ել		
912	լուծել	2	քաղել	լուծ	Regular	E-Class	C-initial	-ել		
913	լուծուիլ	4	խօսիլ	լուծ	Regular	Passive	C-initial	-իլ		
914	լուսաբանել	2	քաղել	լուսաբան	Regular	E-Class	C-initial	-ել		
915	լուսազարդել	2	քաղել	լուսազարդ	Regular	E-Class	C-initial	-ել		
916	լուսանկարել	2	քաղել	լուսանկար	Regular	E-Class	C-initial	-ել		
917	լուսաւորել	2	քաղել	լուսաւոր	Regular	E-Class	C-initial	-ել		
918	լուսնել	2	քաղել	լուսն	Regular	E-Class	C-initial	-ել		
919	լպրծել	2	քաղել	լպրծ	Regular	E-Class	C-initial	-ել		
920	լպրշիլ	4	խօսիլ	լպրշ	Regular	I-Class	C-initial	-իլ		
921	լռել	2	քաղել	լռ	Regular	E-Class	C-initial	-ել		
922	լռեցնել	10	մօտեցնել	լռե	Regular	Causative	C-initial	-ցնել		
923	լսել	2	քաղել	լս	Regular	E-Class	C-initial	-ել		
924	լսուիլ	4	խօսիլ	լս	Regular	Passive	C-initial	-իլ		
925	լրանալ	20	նիհարնալ	լր	Regular	Inchoative	C-initial	-նալ		
926	լրացնել	10	մօտեցնել	լրա	Regular	Causative	C-initial	-ցնել		
927	լրբանալ	20	նիհարնալ	լրբ	Regular	Inchoative	C-initial	-նալ		
928	լրջանալ	20	նիհարնալ	լրջ	Regular	Inchoative	C-initial	-նալ		
929	լրտեսել	2	քաղել	լրտես	Regular	E-Class	C-initial	-ել		
930	լփռտալ	6	կարդալ	լփռտ	Regular	A-Class	C-initial	-ալ		
931	լփռտել	2	քաղել	լփռտ	Regular	E-Class	C-initial	-ել		
932	լքել	2	քաղել	լք	Regular	E-Class	C-initial	-ել		
933	խաբել	2	քաղել	խաբ	Regular	E-Class	C-initial	-ել		
934	խաբուիլ	4	խօսիլ	խաբ	Regular	Passive	C-initial	-իլ		
935	խազել	2	քաղել	խազ	Regular	E-Class	C-initial	-ել		
936	խաթարել	2	քաղել	խաթար	Regular	E-Class	C-initial	-ել		
937	խաթարուիլ	4	խօսիլ	խաթար	Regular	Passive	C-initial	-իլ		
938	խախալել	2	քաղել	խախալ	Regular	E-Class	C-initial	-ել		
939	խախանջել	2	քաղել	խախանջ	Regular	E-Class	C-initial	-ել		
940	խախտել	2	քաղել	խախտ	Regular	E-Class	C-initial	-ել		
941	խածնել	53	խածնել	խածն	Irregular			-նել		
942	խահագործել	2	քաղել	խահագործ	Regular	E-Class	C-initial	-ել		
943	խաղալ	54	խաղալ 	խաղ	Irregular			-ալ 		
944	խաղաղել	2	քաղել	խաղաղ	Regular	E-Class	C-initial	-ել		
945	խաղաղեցնել	10	մօտեցնել	խաղաղե	Regular	Causative	C-initial	-ցնել		
946	խաղաղիլ	4	խօսիլ	խաղաղ	Regular	I-Class	C-initial	-իլ		
947	խաղցնել	10	մօտեցնել	խաղ	Regular	Causative	C-initial	-ցնել		
948	խամրեցնել	10	մօտեցնել	խամրե	Regular	Causative	C-initial	-ցնել		
949	խամրիլ	4	խօսիլ	խամր	Regular	I-Class	C-initial	-իլ		
950	խայթել	2	քաղել	խայթ	Regular	E-Class	C-initial	-ել		
951	խայծիլ	4	խօսիլ	խայծ	Regular	I-Class	C-initial	-իլ		
952	խայտալ	6	կարդալ	խայտ	Regular	A-Class	C-initial	-ալ		
953	խայտառակել	2	քաղել	խայտառակ	Regular	E-Class	C-initial	-ել		
954	խայտառակուիլ	4	խօսիլ	խայտառակ	Regular	Passive	C-initial	-իլ		
955	խանգարել	2	քաղել	խանգար	Regular	E-Class	C-initial	-ել		
956	խանգարուիլ	4	խօսիլ	խանգար	Regular	Passive	C-initial	-իլ		
957	խանդաղատիլ	4	խօսիլ	խանդաղատ	Regular	I-Class	C-initial	-իլ		
958	խանդավառել	2	քաղել	խանդավառ	Regular	E-Class	C-initial	-ել		
959	խանդավառուիլ	4	խօսիլ	խանդավառ	Regular	Passive	C-initial	-իլ		
960	խանծել	2	քաղել	խանծ	Regular	E-Class	C-initial	-ել		
961	խանծիլ	4	խօսիլ	խանծ	Regular	I-Class	C-initial	-իլ		
962	խանձել	2	քաղել	խանձ	Regular	E-Class	C-initial	-ել		
963	խանձիլ	4	խօսիլ	խանձ	Regular	I-Class	C-initial	-իլ		
964	խանչել	2	քաղել	խանչ	Regular	E-Class	C-initial	-ել		
965	խաշել	2	քաղել	խաշ	Regular	E-Class	C-initial	-ել		
966	խաշիլ	4	խօսիլ	խաշ	Regular	I-Class	C-initial	-իլ		
967	խաչակնքել	2	քաղել	խաչակնք	Regular	E-Class	C-initial	-ել		
968	խաչաձեւել	2	քաղել	խաչաձեւ	Regular	E-Class	C-initial	-ել		
969	խաչել	2	քաղել	խաչ	Regular	E-Class	C-initial	-ել		
970	խառատել	2	քաղել	խառատ	Regular	E-Class	C-initial	-ել		
971	խառել	2	քաղել	խառ	Regular	E-Class	C-initial	-ել		
972	խառնակել	2	քաղել	խառնակ	Regular	E-Class	C-initial	-ել		
973	խառնակիլ	4	խօսիլ	խառնակ	Regular	I-Class	C-initial	-իլ		
974	խառնել	2	քաղել	խառն	Regular	E-Class	C-initial	-ել		
975	խառնուիլ	4	խօսիլ	խառն	Regular	Passive	C-initial	-իլ		
976	խարազանել	2	քաղել	խարազան	Regular	E-Class	C-initial	-ել		
977	խարանել	2	քաղել	խարան	Regular	E-Class	C-initial	-ել		
978	խարբալել	2	քաղել	խարբալ	Regular	E-Class	C-initial	-ել		
979	խարդախել	2	քաղել	խարդախ	Regular	E-Class	C-initial	-ել		
980	խարել	2	քաղել	խար	Regular	E-Class	C-initial	-ել		
981	խարխափել	2	քաղել	խարխափ	Regular	E-Class	C-initial	-ել		
982	խարխլել	2	քաղել	խարխլ	Regular	E-Class	C-initial	-ել		
983	խարխլիլ	4	խօսիլ	խարխլ	Regular	I-Class	C-initial	-իլ		
984	խարկել	2	քաղել	խարկ	Regular	E-Class	C-initial	-ել		
985	խարշափել	2	քաղել	խարշափ	Regular	E-Class	C-initial	-ել		
986	խարսխել	2	քաղել	խարսխ	Regular	E-Class	C-initial	-ել		
987	խարտել	2	քաղել	խարտ	Regular	E-Class	C-initial	-ել		
988	խարտոցնել	10	մօտեցնել	խարտո	Regular	Causative	C-initial	-ցնել		dissimilation
989	խաւարիլ	4	խօսիլ	խաւար	Regular	I-Class	C-initial	-իլ		
990	խափանել	2	քաղել	խափան	Regular	E-Class	C-initial	-ել		
991	խեթալ	6	կարդալ	խեթ	Regular	A-Class	C-initial	-ալ		
992	խեթել	2	քաղել	խեթ	Regular	E-Class	C-initial	-ել		
993	խեթկել	2	քաղել	խեթկ	Regular	E-Class	C-initial	-ել		
994	խելաբերիլ	4	խօսիլ	խելաբեր	Regular	I-Class	C-initial	-իլ		
995	խելագարիլ	4	խօսիլ	խելագար	Regular	I-Class	C-initial	-իլ		
996	խելօքնալ	20	նիհարնալ	խելօք	Regular	Inchoative	C-initial	-նալ		
997	խեղաթիւրել	2	քաղել	խեղաթիւր	Regular	E-Class	C-initial	-ել		
998	խեղդել	2	քաղել	խեղդ	Regular	E-Class	C-initial	-ել		
999	խեղդուիլ	4	խօսիլ	խեղդ	Regular	Passive	C-initial	-իլ		
1000	խեղել	2	քաղել	խեղ	Regular	E-Class	C-initial	-ել		
1001	խեղճանալ	20	նիհարնալ	խեղճ	Regular	Inchoative	C-initial	-նալ		
1002	խենթանալ	20	նիհարնալ	խենթ	Regular	Inchoative	C-initial	-նալ		
1003	խենթացնել	10	մօտեցնել	խենթա	Regular	Causative	C-initial	-ցնել		
1004	խզել	2	քաղել	խզ	Regular	E-Class	C-initial	-ել		
1005	խթանել	2	քաղել	խթան	Regular	E-Class	C-initial	-ել		
1006	խթել	2	քաղել	խթ	Regular	E-Class	C-initial	-ել		
1007	խիզախել	2	քաղել	խիզախ	Regular	E-Class	C-initial	-ել		
1008	խլանալ	20	նիհարնալ	խլ	Regular	Inchoative	C-initial	-նալ		
1009	խլացնել	10	մօտեցնել	խլա	Regular	Causative	C-initial	-ցնել		
1010	խլել	2	քաղել	խլ	Regular	E-Class	C-initial	-ել		
1011	խլրտալ	6	կարդալ	խլրտ	Regular	A-Class	C-initial	-ալ		
1012	խլրտել	2	քաղել	խլրտ	Regular	E-Class	C-initial	-ել		
1013	խլրտիլ	4	խօսիլ	խլրտ	Regular	I-Class	C-initial	-իլ		
1014	խխնջել	2	քաղել	խխնջ	Regular	E-Class	C-initial	-ել		
1015	խծբծել	2	քաղել	խծբծ	Regular	E-Class	C-initial	-ել		
1016	խղճալ	6	կարդալ	խղճ	Regular	A-Class	C-initial	-ալ		
1017	խղճահարիլ	4	խօսիլ	խղճահար	Regular	I-Class	C-initial	-իլ		
1018	խճողել	2	քաղել	խճող	Regular	E-Class	C-initial	-ել		
1019	խմբագրել	2	քաղել	խմբագր	Regular	E-Class	C-initial	-ել		
1020	խմբաւորել	2	քաղել	խմբաւոր	Regular	E-Class	C-initial	-ել		
1021	խմբել	2	քաղել	խմբ	Regular	E-Class	C-initial	-ել		
1022	խմբուիլ	4	խօսիլ	խմբ	Regular	Passive	C-initial	-իլ		
1023	խմել	2	քաղել	խմ	Regular	E-Class	C-initial	-ել		
1024	խմորել	2	քաղել	խմոր	Regular	E-Class	C-initial	-ել		
1025	խնամել	2	քաղել	խնամ	Regular	E-Class	C-initial	-ել		
1026	խնայել	2	քաղել	խնայ	Regular	E-Class	C-initial	-ել		
1027	խնդալ	6	կարդալ	խնդ	Regular	A-Class	C-initial	-ալ		
1028	խնդակցիլ	4	խօսիլ	խնդակց	Regular	I-Class	C-initial	-իլ		
1029	խնդացնել	10	մօտեցնել	խնդա	Regular	Causative	C-initial	-ցնել		
1030	խնդրել	2	քաղել	խնդր	Regular	E-Class	C-initial	-ել		
1031	խնծղալ	6	կարդալ	խնծղ	Regular	A-Class	C-initial	-ալ		
1032	խնկարկել	2	քաղել	խնկարկ	Regular	E-Class	C-initial	-ել		
1033	խնկել	2	քաղել	խնկ	Regular	E-Class	C-initial	-ել		
1034	խնջել	2	քաղել	խնջ	Regular	E-Class	C-initial	-ել		
1035	խոզանակել	2	քաղել	խոզանակ	Regular	E-Class	C-initial	-ել		
1036	խոթանալ	20	նիհարնալ	խոթ	Regular	Inchoative	C-initial	-նալ		
1037	խոթել	2	քաղել	խոթ	Regular	E-Class	C-initial	-ել		
1038	խոժոռիլ	4	խօսիլ	խոժոռ	Regular	I-Class	C-initial	-իլ		
1039	խոխոջել	2	քաղել	խոխոջ	Regular	E-Class	C-initial	-ել		
1040	խոկալ	6	կարդալ	խոկ	Regular	A-Class	C-initial	-ալ		
1041	խողխողել	2	քաղել	խողխող	Regular	E-Class	C-initial	-ել		
1042	խոյանալ	20	նիհարնալ	խոյ	Regular	Inchoative	C-initial	-նալ		
1043	խոնարհել	2	քաղել	խոնարհ	Regular	E-Class	C-initial	-ել		
1044	խոնարհիլ	4	խօսիլ	խոնարհ	Regular	I-Class	C-initial	-իլ		
1045	խոնաւնալ	20	նիհարնալ	խոնաւ	Regular	Inchoative	C-initial	-նալ		
1046	խոնաւցնել	10	մօտեցնել	խոնաւ	Regular	Causative	C-initial	-ցնել		
1047	խոնջիլ	4	խօսիլ	խոնջ	Regular	I-Class	C-initial	-իլ		
1048	խոշորնալ	20	նիհարնալ	խոշոր	Regular	Inchoative	C-initial	-նալ		
1049	խոշորցնել	10	մօտեցնել	խոշոր	Regular	Causative	C-initial	-ցնել		
1050	խոշտանգել	2	քաղել	խոշտանգ	Regular	E-Class	C-initial	-ել		
1051	խոպանանալ	20	նիհարնալ	խոպան	Regular	Inchoative	C-initial	-նալ		
1052	խոպոպել	2	քաղել	խոպոպ	Regular	E-Class	C-initial	-ել		
1053	խոռել	2	քաղել	խոռ	Regular	E-Class	C-initial	-ել		
1054	խոստանալ	20	նիհարնալ	խոստ	Regular	Inchoative	C-initial	-նալ		
1055	խոստովանիլ	4	խօսիլ	խոստովան	Regular	I-Class	C-initial	-իլ		
1056	խոտել	2	քաղել	խոտ	Regular	E-Class	C-initial	-ել		
1057	խոտորիլ	4	խօսիլ	խոտոր	Regular	I-Class	C-initial	-իլ		
1058	խորանալ	20	նիհարնալ	խոր	Regular	Inchoative	C-initial	-նալ		
1059	խորաչափել	2	քաղել	խորաչափ	Regular	E-Class	C-initial	-ել		
1060	խորասուզուիլ	4	խօսիլ	խորասուզ	Regular	Passive	C-initial	-իլ		
1061	խորացնել	10	մօտեցնել	խորա	Regular	Causative	C-initial	-ցնել		
1062	խորդալ	6	կարդալ	խորդ	Regular	A-Class	C-initial	-ալ		
1063	խորել	2	քաղել	խոր	Regular	E-Class	C-initial	-ել		
1064	խորթանալ	20	նիհարնալ	խորթ	Regular	Inchoative	C-initial	-նալ		
1065	խորխատել	2	քաղել	խորխատ	Regular	E-Class	C-initial	-ել		
1066	խորհիլ	4	խօսիլ	խորհ	Regular	I-Class	C-initial	-իլ		
1067	խորհրդածել	2	քաղել	խորհրդած	Regular	E-Class	C-initial	-ել		
1068	խորհրդակցիլ	4	խօսիլ	խորհրդակց	Regular	I-Class	C-initial	-իլ		
1069	խորհրդանշել	2	քաղել	խորհրդանշ	Regular	E-Class	C-initial	-ել		
1070	խորշիլ	4	խօսիլ	խորշ	Regular	I-Class	C-initial	-իլ		
1071	խորշոմել	2	քաղել	խորշոմ	Regular	E-Class	C-initial	-ել		
1072	խորշոմիլ	4	խօսիլ	խորշոմ	Regular	I-Class	C-initial	-իլ		
1073	խորովել	2	քաղել	խորով	Regular	E-Class	C-initial	-ել		
1074	խորովուիլ	4	խօսիլ	խորով	Regular	Passive	C-initial	-իլ		
1075	խորտակել	2	քաղել	խորտակ	Regular	E-Class	C-initial	-ել		
1076	խորտակուիլ	4	խօսիլ	խորտակ	Regular	Passive	C-initial	-իլ		
1077	խոցել	2	քաղել	խոց	Regular	E-Class	C-initial	-ել		
1078	խոցոտել	2	քաղել	խոցոտ	Regular	E-Class	C-initial	-ել		
1079	խուզարկել	2	քաղել	խուզարկ	Regular	E-Class	C-initial	-ել		
1080	խուզել	2	քաղել	խուզ	Regular	E-Class	C-initial	-ել		
1081	խուժել	2	քաղել	խուժ	Regular	E-Class	C-initial	-ել		
1082	խուլնալ	20	նիհարնալ	խուլ	Regular	Inchoative	C-initial	-նալ		
1083	խուլցնել	10	մօտեցնել	խուլ	Regular	Causative	C-initial	-ցնել		
1084	խուսափիլ	4	խօսիլ	խուսափ	Regular	I-Class	C-initial	-իլ		
1085	խուսել	2	քաղել	խուս	Regular	E-Class	C-initial	-ել		
1086	խուրտել	2	քաղել	խուրտ	Regular	E-Class	C-initial	-ել		
1087	խպնիլ	4	խօսիլ	խպն	Regular	I-Class	C-initial	-իլ		
1088	խռկալ	6	կարդալ	խռկ	Regular	A-Class	C-initial	-ալ		
1089	խռմփալ	6	կարդալ	խռմփ	Regular	A-Class	C-initial	-ալ		
1090	խռնել	2	քաղել	խռն	Regular	E-Class	C-initial	-ել		
1091	խռնուիլ	4	խօսիլ	խռն	Regular	Passive	C-initial	-իլ		
1092	խռովել	2	քաղել	խռով	Regular	E-Class	C-initial	-ել		
1093	խռովիլ	4	խօսիլ	խռով	Regular	I-Class	C-initial	-իլ		
1094	խռֆիլ	4	խօսիլ	խռֆ	Regular	I-Class	C-initial	-իլ		
1095	խստանալ	20	նիհարնալ	խստ	Regular	Inchoative	C-initial	-նալ		
1096	խստացնել	10	մօտեցնել	խստա	Regular	Causative	C-initial	-ցնել		
1097	խտանալ	20	նիհարնալ	խտ	Regular	Inchoative	C-initial	-նալ		
1098	խտացնել	10	մօտեցնել	խտա	Regular	Causative	C-initial	-ցնել		
1099	խտղտել	2	քաղել	խտղտ	Regular	E-Class	C-initial	-ել		
1100	խտրել	2	քաղել	խտր	Regular	E-Class	C-initial	-ել		
1101	խրախուսել	2	քաղել	խրախուս	Regular	E-Class	C-initial	-ել		
1102	խրատել	2	քաղել	խրատ	Regular	E-Class	C-initial	-ել		
1103	խրել	2	քաղել	խր	Regular	E-Class	C-initial	-ել		
1104	խրիլ	4	խօսիլ	խր	Regular	I-Class	C-initial	-իլ		
1105	խրխնջել	2	քաղել	խրխնջ	Regular	E-Class	C-initial	-ել		
1106	խրոխտալ	6	կարդալ	խրոխտ	Regular	A-Class	C-initial	-ալ		
1107	խրոխտանալ	20	նիհարնալ	խրոխտ	Regular	Inchoative	C-initial	-նալ		
1108	խրտչեցնել	10	մօտեցնել	խրտչե	Regular	Causative	C-initial	-ցնել		
1109	խրտչիլ	4	խօսիլ	խրտչ	Regular	I-Class	C-initial	-իլ		
1110	խցանել	2	քաղել	խցան	Regular	E-Class	C-initial	-ել		
1111	խցել	2	քաղել	խց	Regular	E-Class	C-initial	-ել		
1112	խփել	2	քաղել	խփ	Regular	E-Class	C-initial	-ել		
1113	խօլիլ	4	խօսիլ	խօլ	Regular	I-Class	C-initial	-իլ		
1114	խօսակցիլ	4	խօսիլ	խօսակց	Regular	I-Class	C-initial	-իլ		
1115	խօսեցնել	10	մօտեցնել	խօսե	Regular	Causative	C-initial	-ցնել		
1116	խօսիլ	4	խօսիլ	խօս	Regular	I-Class	C-initial	-իլ		
1117	ծագեցնել	10	մօտեցնել	ծագե	Regular	Causative	C-initial	-ցնել		
1118	ծագիլ	4	խօսիլ	ծագ	Regular	I-Class	C-initial	-իլ		
1119	ծաթիլ	4	խօսիլ	ծաթ	Regular	I-Class	C-initial	-իլ		
1120	ծալել	2	քաղել	ծալ	Regular	E-Class	C-initial	-ել		
1121	ծալլել	2	քաղել	ծալլ	Regular	E-Class	C-initial	-ել		
1122	ծախել	2	քաղել	ծախ	Regular	E-Class	C-initial	-ել		
1123	ծախուիլ	4	խօսիլ	ծախ	Regular	Passive	C-initial	-իլ		
1124	ծածանիլ	4	խօսիլ	ծածան	Regular	I-Class	C-initial	-իլ		
1125	ծածկել	2	քաղել	ծածկ	Regular	E-Class	C-initial	-ել		
1126	ծածկուիլ	4	խօսիլ	ծածկ	Regular	Passive	C-initial	-իլ		
1127	ծականշել	2	քաղել	ծականշ	Regular	E-Class	C-initial	-ել		
1128	ծակել	2	քաղել	ծակ	Regular	E-Class	C-initial	-ել		
1129	ծակծկել	2	քաղել	ծակծկ	Regular	E-Class	C-initial	-ել		
1130	ծակոտել	2	քաղել	ծակոտ	Regular	E-Class	C-initial	-ել		
1131	ծակուիլ	4	խօսիլ	ծակ	Regular	Passive	C-initial	-իլ		
1132	ծաղկազարդել	2	քաղել	ծաղկազարդ	Regular	E-Class	C-initial	-ել		
1133	ծաղկել	2	քաղել	ծաղկ	Regular	E-Class	C-initial	-ել		
1134	ծաղկեցնել	10	մօտեցնել	ծաղկե	Regular	Causative	C-initial	-ցնել		
1135	ծաղկիլ	4	խօսիլ	ծաղկ	Regular	I-Class	C-initial	-իլ		
1136	ծաղրել	2	քաղել	ծաղր	Regular	E-Class	C-initial	-ել		
1137	ծամածռել	2	քաղել	ծամածռ	Regular	E-Class	C-initial	-ել		
1138	ծամել	2	քաղել	ծամ	Regular	E-Class	C-initial	-ել		
1139	ծամծմել	2	քաղել	ծամծմ	Regular	E-Class	C-initial	-ել		
1140	ծայրատել	2	քաղել	ծայրատ	Regular	E-Class	C-initial	-ել		
1141	ծանակել	2	քաղել	ծանակ	Regular	E-Class	C-initial	-ել		
1142	ծանուցանել	12	ծանուցանել	ծանուց	Archaic		C-initial	-ուցանել		
1143	ծանուցել	2	քաղել	ծանուց	Regular	E-Class	C-initial	-ել		
1144	ծանրաբեռնել	2	քաղել	ծանրաբեռն	Regular	E-Class	C-initial	-ել		
1145	ծանրանալ	20	նիհարնալ	ծանր	Regular	Inchoative	C-initial	-նալ		
1146	ծանրացնել	10	մօտեցնել	ծանրա	Regular	Causative	C-initial	-ցնել		
1147	ծանօթագրել	2	քաղել	ծանօթագր	Regular	E-Class	C-initial	-ել		
1148	ծանօթանալ	20	նիհարնալ	ծանօթ	Regular	Inchoative	C-initial	-նալ		
1149	ծանօթացնել	10	մօտեցնել	ծանօթա	Regular	Causative	C-initial	-ցնել		
1150	ծառազարդել	2	քաղել	ծառազարդ	Regular	E-Class	C-initial	-ել		
1151	ծառայել	2	քաղել	ծառայ	Regular	E-Class	C-initial	-ել		
1152	ծառայեցնել	10	մօտեցնել	ծառայե	Regular	Causative	C-initial	-ցնել		
1153	ծառանալ	20	նիհարնալ	ծառ	Regular	Inchoative	C-initial	-նալ		
1154	ծարաւիլ	4	խօսիլ	ծար	Regular	Passive	C-initial	-իլ		
1155	ծարաւնալ	20	նիհարնալ	ծարաւ	Regular	Inchoative	C-initial	-նալ		
1156	ծարիրել	2	քաղել	ծարիր	Regular	E-Class	C-initial	-ել		
1157	ծարուրել	2	քաղել	ծարուր	Regular	E-Class	C-initial	-ել		
1158	ծաւալել	2	քաղել	ծաւալ	Regular	E-Class	C-initial	-ել		
1159	ծաւալիլ	4	խօսիլ	ծաւալ	Regular	I-Class	C-initial	-իլ		
1160	ծափահարել	2	քաղել	ծափահար	Regular	E-Class	C-initial	-ել		
1161	ծափել	2	քաղել	ծափ	Regular	E-Class	C-initial	-ել		
1162	ծեթեւեթել	2	քաղել	ծեթեւեթ	Regular	E-Class	C-initial	-ել		
1163	ծեծել	2	քաղել	ծեծ	Regular	E-Class	C-initial	-ել		
1164	ծեծուիլ	4	խօսիլ	ծեծ	Regular	Passive	C-initial	-իլ		
1165	ծերանալ	20	նիհարնալ	ծեր	Regular	Inchoative	C-initial	-նալ		
1166	ծեփել	2	քաղել	ծեփ	Regular	E-Class	C-initial	-ել		
1167	ծեքել	2	քաղել	ծեք	Regular	E-Class	C-initial	-ել		
1168	ծեքծեքիլ	4	խօսիլ	ծեքծեք	Regular	I-Class	C-initial	-իլ		
1169	ծթռիլ	4	խօսիլ	ծթռ	Regular	I-Class	C-initial	-իլ		
1170	ծիծաղիլ	4	խօսիլ	ծիծաղ	Regular	I-Class	C-initial	-իլ		
1171	ծիւրիլ	4	խօսիլ	ծիւր	Regular	I-Class	C-initial	-իլ		
1172	ծլարձակիլ	4	խօսիլ	ծլարձակ	Regular	I-Class	C-initial	-իլ		
1173	ծլիլ	4	խօսիլ	ծլ	Regular	I-Class	C-initial	-իլ		
1174	ծխալ	6	կարդալ	ծխ	Regular	A-Class	C-initial	-ալ		
1175	ծխել	2	քաղել	ծխ	Regular	E-Class	C-initial	-ել		
1176	ծխոտել	2	քաղել	ծխոտ	Regular	E-Class	C-initial	-ել		
1177	ծծել	2	քաղել	ծծ	Regular	E-Class	C-initial	-ել		
1178	ծնիլ	56	նստիլ	ծն	Irregular			-իլ		
1179	ծնրադրել	2	քաղել	ծնրադր	Regular	E-Class	C-initial	-ել		
1180	ծոմել	2	քաղել	ծոմ	Regular	E-Class	C-initial	-ել		
1181	ծորիլ	4	խօսիլ	ծոր	Regular	I-Class	C-initial	-իլ		
1182	ծուատել	2	քաղել	ծուատ	Regular	E-Class	C-initial	-ել		
1183	ծուատիլ	4	խօսիլ	ծուատ	Regular	I-Class	C-initial	-իլ		
1184	ծուարիլ	4	խօսիլ	ծուար	Regular	I-Class	C-initial	-իլ		
1185	ծպտել	2	քաղել	ծպտ	Regular	E-Class	C-initial	-ել		
1186	ծպտուիլ	4	խօսիլ	ծպտ	Regular	Passive	C-initial	-իլ		
1187	ծռել	2	քաղել	ծռ	Regular	E-Class	C-initial	-ել		
1188	ծռիլ	4	խօսիլ	ծռ	Regular	I-Class	C-initial	-իլ		
1189	ծրագրել	2	քաղել	ծրագր	Regular	E-Class	C-initial	-ել		
1190	ծրարել	2	քաղել	ծրար	Regular	E-Class	C-initial	-ել		
1191	ծրտել	2	քաղել	ծրտ	Regular	E-Class	C-initial	-ել		
1192	ծփալ	6	կարդալ	ծփ	Regular	A-Class	C-initial	-ալ		
